Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Chris Sale","ATL",8,5,0,14,14,84,10.607142857142858,2.25,0.6428571428571429,0.2932692307692308,0.82191781,0.446009389,0.083333333,96.02020996996303,2.142857142857143,3.453430991911218,2.7110854421343125,3.062951755523682,2.432446002960205,"Chris Sale",10603,519242
"Drew Rasmussen","TBR",6,4,0,15,15,86,9.313953488372093,1.569767441860465,0.9418604651162791,0.23963133640552994,0.77981651,0.486486486,0.123287671,96.11008013968481,2.616279069767442,3.082931037333699,2.9876635152240127,2.895228798444881,2.392277479171753,"Drew Rasmussen",25385,656876
"Jesús Luzardo","PHI",6,4,0,16,16,92.1,10.722022251281862,2.924187886713235,0.8772563660139705,0.3445378151260504,0.69664903,0.485596707,0.126760563,97.2977884017413,4.386281830069853,3.2389589820605154,3.125603236004146,3.0071511676641576,2.3720061779022217,"Jesus Luzardo",19959,666200
"Bryan Woo","SEA",6,5,0,15,15,89,8.898876404494382,1.6179775280898876,0.9101123595505618,0.2689075630252101,0.64231738,0.357723577,0.078260869,95.85602590134707,3.943820224719101,3.271264471628919,3.0814706748790957,3.697111840194531,2.3489527702331543,"Bryan Woo",30279,693433
"Yoshinobu Yamamoto","LAD",7,5,0,14,14,91.2,8.44363659789031,1.6690909553969215,0.9818182090570127,0.22746781115879827,0.79710145,0.489539748,0.125,95.96500865765171,2.650909164453934,3.3448666408887493,3.300306226802858,3.18584283362372,2.271509885787964,"Yoshinobu Yamamoto",33825,808967
"Michael Soroka","ARI",8,3,0,15,15,82,8.670731707317072,1.8658536585365855,0.6585365853658537,0.2920353982300885,0.77102804,0.382608695,0.068181818,93.7346997476247,3.073170731707317,3.9289838555531476,2.933210877674382,3.5851410586659505,2.117790699005127,"Michael Soroka",18383,647336
"Max Meyer","MIA",8,0,0,16,16,90,10.2,3.4,0.8,0.2743362831858407,0.8097166,0.413793103,0.086956521,95.08138577279202,2.8,3.8249945603218256,3.3261648072136776,3.697649817996555,2.0908608436584473,"Max Meyer",27474,676974
"Kevin Gausman","TOR",4,5,0,16,16,89,9,2.0224719101123596,1.1123595505617978,0.2857142857142857,0.69284065,0.383399209,0.101851851,94.02473617473822,4.044943820224719,3.483172364730935,3.418549326564489,3.624562309565169,1.9846532344818115,"Kevin Gausman",14107,592332
"George Kirby","SEA",6,7,0,16,16,96,7.875,2.15625,0.84375,0.3380281690140845,0.71550256,0.489726027,0.092783505,96.81313509187082,3.9375,3.743355513394142,3.3539425849914557,3.6445974926153824,1.910962700843811,"George Kirby",25436,669923
"Logan Webb","SFG",4,5,0,13,13,83.1,7.559999769287116,2.159999934082033,0.5399999835205083,0.2857142857142857,0.7,0.516666666,0.073529411,92.73306842672413,3.3479998978271515,3.6032751619574817,3.0679425860900875,3.5069193030402612,1.9068061113357544,"Logan Webb",17995,657277
"Landen Roupp","SFG",5,7,0,15,15,80.1,9.970954988152277,3.6970956697643276,0.5601660105703526,0.3157894736842105,0.65656566,0.497607655,0.078125,92.87098039899554,4.14522847822061,3.28371402254567,3.004357516445615,3.3853453173279022,1.8420495986938477,"Landen Roupp",30076,694738
"Dustin May","STL",5,6,0,15,15,83.2,8.282868777662445,2.3665339364749842,0.7529880706965859,0.30735930735930733,0.6512605,0.44680851,0.079545454,96.95883501838236,4.3027889754090625,3.690625805069879,3.319082033761908,3.802647086404276,1.7846969366073608,"Dustin May",19716,669160
"Justin Wrobleski","LAD",9,2,0,14,13,86.1,5.525096850603426,1.87644798699739,0.7297297727212072,0.23484848484848486,0.79545455,0.401486988,0.0625,94.29641940209173,2.710424870107341,4.318559090120894,3.6251781369351743,4.50908396062616,1.7784688398241997,"Justin Wrobleski",31204,680736
"Nick Martinez","TBR",6,2,0,15,15,89,5.561797752808989,1.7191011235955056,0.8089887640449438,0.2765957446808511,0.8315565,0.344947735,0.068376068,93.03737289186508,2.730337078651685,4.605420428576048,3.6769762928566236,4.472254402717848,1.7728676795959473,"Nick Martinez",12730,607259
"Sandy Alcantara","MIA",8,4,0,17,17,110,6.627272727272727,2.209090909090909,0.9818181818181818,0.2912912912912913,0.7028754,0.452941176,0.1,97.65582923030547,4.009090909090909,3.8040287938585267,3.949397130446001,4.160863347487016,1.7724480628967285,"Sandy Alcantara",18684,645261
"MacKenzie Gore","TEX",4,6,0,16,16,84,9.857142857142858,3.9642857142857144,0.8571428571428571,0.2909090909090909,0.73146293,0.358407079,0.082474226,95.62008101851852,4.071428571428571,4.0802769792123375,3.544418775467646,4.031357717514038,1.7531144618988037,"MacKenzie Gore",22201,669022
"Michael Wacha","KCR",5,5,0,16,16,101,6.861386138613861,2.5841584158415842,0.8910891089108911,0.2698961937716263,0.74766355,0.4,0.086956521,93.092080078125,3.4752475247524752,3.946679833465016,3.8465168424171985,4.260299651457532,1.734735369682312,"Michael Wacha",14078,608379
"Will Warren","NYY",7,2,0,15,15,78.1,9.651064456440666,2.987234236517349,0.9191489958514921,0.3181818181818182,0.67510549,0.44,0.095238095,93.71972475739372,3.4468087344430955,3.7265553047478814,3.3592617505057585,3.6335115391065855,1.6884019374847412,"Will Warren",30182,701542
"Nolan McLean","NYM",4,4,0,15,15,83.1,10.476000639404337,3.4560002109375128,0.8640000527343782,0.25757575757575757,0.67567568,0.470588235,0.121212121,96.36595601154619,3.6720002241211076,3.2656891084909363,3.4999426091613786,3.435067078773468,1.6609771251678467,"Nolan McLean",33703,690997
"Jacob deGrom","TEX",6,4,0,15,15,82.2,10.669355166938386,1.9596774796417444,1.6330645663681205,0.25870646766169153,0.8125,0.316279069,0.145631067,97.31087408246978,3.592742046009865,3.5607414508884814,3.7450716369730137,3.247482129636566,1.6265535354614258,"Jacob deGrom",10954,594798
"Seth Lugo","KCR",3,4,0,15,15,85.1,6.960937914904232,2.9531251760199773,0.7382812940049943,0.3137254901960784,0.72504708,0.379844961,0.066037735,91.89574866872198,3.6914064700249716,5.210352248147431,3.643005117122086,4.432233298021002,1.6112990379333496,"Seth Lugo",12447,607625
"Bryce Elder","ATL",5,5,0,16,16,94.2,7.51056358204596,2.757042327586492,0.9507042508918937,0.2733812949640288,0.7184466,0.441696113,0.0990099,92.73865107248521,3.7077465784783854,3.467187426497653,3.790562321746712,4.011107193105042,1.5648267269134521,"Bryce Elder",27779,693821
"Shane Baz","BAL",4,8,0,16,16,94,7.75531914893617,3.351063829787234,0.8617021276595744,0.30824372759856633,0.68106312,0.371527777,0.079646017,96.210643966763,4.308510638297872,4.512023802062951,3.837985138182945,4.389095517422291,1.557497501373291,"Shane Baz",22264,669358
"Gavin Williams","CLE",9,4,0,16,16,96.2,10.334483030502925,2.886206972482799,1.3965517608787736,0.2782608695652174,0.75824176,0.456790123,0.168539325,96.75531962250712,3.8172414797353147,4.648805469405215,3.848770190793468,3.2068955415647564,1.5206013917922974,"Gavin Williams",30122,668909
"Logan Gilbert","SEA",6,4,0,16,16,93,9.67741935483871,2.129032258064516,1.3548387096774193,0.2555066079295154,0.8186398,0.3375,0.127272727,95.78642971611721,3.2903225806451615,3.9282744733995023,3.7813619398301648,3.5912849887724847,1.4940111637115479,"Logan Gilbert",22250,669302
"Keider Montero","DET",3,5,0,15,14,80.2,5.913223536644297,1.8966943419425106,1.0041322986754468,0.22821576763485477,0.68181818,0.354838709,0.070866141,94.40596195975726,3.681818428476638,3.710257263699048,3.9469178480770157,4.848383099798284,1.4822787269949913,"Keider Montero",22630,672456
"José Soriano","LAA",8,4,0,16,16,92,9.58695652173913,4.5,0.9782608695652174,0.2687224669603524,0.82075472,0.533898305,0.136986301,97.53711993243243,3.032608695652174,4.1993237948944335,3.984377367600151,3.756666654089223,1.4102245569229126,"Jose Soriano",22100,667755
"Sean Burke","CHW",5,4,0,16,12,87.1,8.965648985500904,3.091603098448587,1.1335878027644821,0.2826086956521739,0.77639752,0.341772151,0.101851851,94.57822303330116,3.7099237181383047,3.951869851661245,3.9856219871416085,4.195566518676175,1.2816913723945618,"Sean Burke",29878,680732
"Michael King","SDP",5,6,0,16,16,92,7.630434782608695,3.4239130434782608,0.9782608695652174,0.25203252032520324,0.78787879,0.468,0.106382978,93.99266476738721,3.3260869565217392,4.68377631226766,4.158290411078411,4.271565835372262,1.2373942136764526,"Michael King",19853,650633
"J.T. Ginn","ATH",5,4,0,17,14,82.2,7.947580981344526,3.8104840321514852,0.8709677787774823,0.25675675675675674,0.77586207,0.486842105,0.1,94.19716796875,3.1572581980683734,3.8443983983729035,4.011200687884666,4.198791694807777,1.226118755992502,"J.T. Ginn",27889,669372
"Eduardo Rodriguez","ARI",6,2,0,16,16,95,6.631578947368421,3.6,0.8526315789473684,0.25092250922509224,0.86914063,0.400722021,0.088235294,92.0170125736532,2.2736842105263158,4.794581574862389,4.06183732183356,4.434175124921297,1.2229450941085815,"Eduardo Rodriguez",13164,593958
"Emerson Hancock","SEA",5,4,0,15,15,85,8.576470588235294,2.011764705882353,1.2705882352941176,0.2557077625570776,0.76819407,0.411255411,0.129032258,95.4280748997996,3.6,4.555469838822755,3.8451190555796906,3.644266055612003,1.217176914215088,"Emerson Hancock",27470,676106
"Kyle Bradish","BAL",5,7,0,16,16,89,9.50561797752809,4.247191011235955,1.1123595505617978,0.3261802575107296,0.77661431,0.479338842,0.134146341,,3.640449438202247,3.9446641924166963,4.047762809710556,3.8173719181103656,1.216953158378601,"Kyle Bradish",24586,680694
"Mitch Keller","PIT",5,5,0,16,16,88.1,7.030189084045933,3.260377546224201,0.9169811848755565,0.2889733840304182,0.64311594,0.388888888,0.09375,93.53406593406594,4.890566319336301,4.919421390018949,4.156772834293021,4.455742969616606,1.1440504789352417,"Mitch Keller",17594,656605
"Andre Pallante","STL",9,4,0,15,15,82.2,6.9677421498373135,2.721774277280201,0.9798387398208722,0.2644628099173554,0.75492341,0.54,0.116883116,95.14551257621952,3.592742046009865,3.765752029756794,4.095878099378018,4.0719989512983865,1.0346699953079224,"Andre Pallante",26108,669467
"Freddy Peralta","NYM",5,6,0,16,16,85.2,8.7198446168371,3.5719845418368847,1.2607004265306652,0.3004115226337449,0.70621469,0.424603174,0.131868131,94.11824087078652,4.83268496836755,3.852895969199834,4.317950403132095,4.083784718416033,1.0005251169204712,"Freddy Peralta",18679,642547
"Framber Valdez","DET",4,5,0,16,16,89.2,7.527881254398424,3.412639501993952,0.9033457505278109,0.28679245283018867,0.72552448,0.518382352,0.108433734,95.4149678548177,3.9144982522871805,4.365475602168952,4.14111733559746,4.219062185539036,0.9908642172813416,"Framber Valdez",17295,664285
"Nathan Eovaldi","TEX",7,7,0,15,15,93.1,8.871429054883087,2.1214286870372603,1.639285803619701,0.28286852589641437,0.75921909,0.505617977,0.2,94.48982319078948,4.242857374074521,4.226344915797848,4.4003712270697815,3.392979130147473,0.9611173272132874,"Nathan Eovaldi",9132,543135
"Ryan Weathers","NYY",2,5,0,14,14,80.2,9.929752379165283,2.454545531928497,1.785124023220725,0.2663316582914573,0.76149425,0.429906542,0.186046511,96.00171787464986,4.128099303697927,4.189448385230346,4.331215350955704,3.34531350305639,0.9290270805358887,"Ryan Weathers",23796,677960
"Foster Griffin","WSN",8,2,0,16,16,91.1,8.77007348109745,2.2664234838791164,1.576642423568081,0.24267782426778242,0.83333333,0.446215139,0.173913043,91.5186888716603,3.153284847136162,4.0922548568382435,4.417811271298189,3.645186968823976,0.8700703978538513,"Foster Griffin",16432,656492
"Shota Imanaga","CHC",4,6,0,15,15,86.2,8.723077179045374,2.284615451654741,1.7653846671877542,0.23766816143497757,0.74438202,0.382352941,0.158878504,91.86889107751277,4.25769243262929,3.6490463844285905,4.580865705253106,3.875188509023987,0.8668594360351562,"Shota Imanaga",33829,684007
"Andrew Abbott","CIN",5,4,0,16,16,84.2,6.803149810645331,4.145669415861998,1.2755905894959996,0.2749003984063745,0.79457364,0.390625,0.111111111,92.72175349745639,3.8267717684879985,4.853987603453092,4.816541061629604,4.8795547110073105,0.8566569685935974,"Andrew Abbott",29911,671096
"Joey Cantillo","CLE",6,3,0,16,16,80,8.55,4.1625,1.2375,0.29767441860465116,0.74795082,0.412556053,0.118279569,91.94985875706215,4.05,4.196056446935726,4.416442584991455,4.365536272525787,0.8071246147155762,"Joey Cantillo",23335,676282
"Slade Cecconi","CLE",3,6,0,16,16,84.1,7.043478685671761,2.8814230986839022,1.2806324883039566,0.30980392156862746,0.73896353,0.460076045,0.127659574,93.3877461751302,4.482213709063848,4.435862279715348,4.455721322645632,4.270994106386299,0.7247704267501831,"Slade Cecconi",27500,677944
"Michael McGreevy","STL",3,6,0,15,15,83.1,5.724000349365256,2.1600001318359454,1.2960000791015673,0.25806451612903225,0.82070707,0.455252918,0.137931034,91.6017140858209,3.3480002043457158,5.695351486926113,4.423942665557867,4.111515816197096,0.7104189395904541,"Michael McGreevy",29869,700241
"Tanner Bibee","CLE",2,8,0,16,16,89.1,7.858209402637163,2.820895682997956,1.6119403902845462,0.25311203319502074,0.77751196,0.38671875,0.150943396,94.22182425415407,4.029850975711366,4.573778348296367,4.659912822835566,4.104100859352128,0.6383655071258545,"Tanner Bibee",30134,676440
"Jack Leiter","TEX",3,7,0,15,15,80,9.3375,3.9375,1.575,0.3013698630136986,0.69416499,0.36637931,0.14893617,97.0378043071161,5.2875,4.735610403855543,4.766442584991456,4.246709322929382,0.5415769219398499,"Jack Leiter",30146,683004
"Connelly Early","BOS",6,5,0,15,15,81.2,8.706122720091612,3.4163266369979746,1.542857190902311,0.2706422018348624,0.85653105,0.412280701,0.150537634,94.12838330375254,3.636734807126876,4.391076159775122,4.867207946022668,4.339789501060857,0.38300734758377075,"Connelly Early",33666,813349
"Robbie Ray","SFG",6,6,0,16,15,87.2,8.212928262934597,4.311787338040663,1.4372624460135544,0.24347826086956523,0.76839827,0.329166666,0.119658119,93.46727969623602,3.6958177183205683,4.7372845842859315,4.7921556168169,4.7097953658575245,0.2812982425093651,"Robbie Ray",11486,592662
"Colin Rea","CHC",5,5,1,16,12,79.1,6.6932777400475345,3.1764707918869655,1.3613446250944137,0.29218106995884774,0.71572581,0.436507936,0.122448979,93.80736770072993,4.9915969586795175,5.539581862796132,4.830833452009369,4.709783635393739,0.22853807359933853,"Colin Rea",12317,607067
"Zac Gallen","ARI",3,6,0,16,16,79.2,5.874477174973657,2.824267872583489,1.4686192937434142,0.34074074074074073,0.6445993,0.459074733,0.131313131,93.59931144067797,6.100418604780336,5.6948476202679394,4.9742355317245215,4.709263462970714,0.15612033009529114,"Zac Gallen",19291,668678
"Jeffrey Springs","ATH",3,7,0,16,16,82.2,7.838709918566978,2.9395162194626168,2.286290392915369,0.2711864406779661,0.67375887,0.34117647,0.177966101,91.60007774265905,5.55241952565161,4.524006072940327,5.716845891180448,4.546768385143459,-0.11476588249206543,"Jeffrey Springs",17677,605488
"Ryne Nelson","ARI",3,5,0,15,15,83.1,6.6960004086914315,2.3760001450195403,1.944000118652351,0.2540322580645161,0.66425121,0.324528301,0.13740458,96.31494994952894,4.9680003032226745,5.154965580689884,5.395942724884042,4.936265515583675,-0.1332751363515854,"Ryne Nelson",26253,669194
